Kommune;ID;Enhed;Opgave;Kanal;Type;Afslutning;Blanket;Dato;StartTidspunkt;SlutTidspunkt;Datakilde;Er borgeren over eller under 65 år?;
Køge;259;259sek;15.20.00;PPRUD;INFO;HOLD;NEJ;21-10-2013 00:00:00;21-10-2013 00:00:00;21-10-2013 00:00:00;DetDigitaleLandkort;;
Køge;259;259sek;15.20.00;PPRUD;INFO;HOLD;NEJ;21-10-2013 00:00:00;21-10-2013 00:00:00;21-10-2013 00:00:00;DetDigitaleLandkort;;
Køge;259;259sek;15.20.00;PPRUD;INFO;HOLD;NEJ;21-10-2013 00:00:00;21-10-2013 00:00:00;21-10-2013 00:00:00;DetDigitaleLandkort;;
Køge;259;259sek;15.20.00;PPRUD;INFO;HOLD;NEJ;21-10-2013 00:00:00;21-10-2013 00:00:00;21-10-2013 00:00:00;DetDigitaleLandkort;;
Køge;259;259sek;15.20.00;PPRUD;INFO;HOLD;NEJ;21-10-2013 00:00:00;21-10-2013 00:00:00;21-10-2013 00:00:00;DetDigitaleLandkort;;
Køge;259;259sek;15.20.00;PPRUD;INFO;HOLD;NEJ;21-10-2013 00:00:00;21-10-2013 00:00:00;21-10-2013 00:00:00;DetDigitaleLandkort;;
Køge;259;259sek;15.20.00;PPRUD;INFO;HOLD;NEJ;21-10-2013 00:00:00;21-10-2013 00:00:00;21-10-2013 00:00:00;DetDigitaleLandkort;;
Køge;259;259sek;15.20.00;PPRUD;INFO;HOLD;NEJ;21-10-2013 00:00:00;21-10-2013 00:00:00;21-10-2013 00:00:00;DetDigitaleLandkort;;
Køge;259;259sek;15.20.00;PPRUD;INFO;HOLD;NEJ;21-10-2013 00:00:00;21-10-2013 00:00:00;21-10-2013 00:00:00;DetDigitaleLandkort;;
Køge;259;259sek;15.20.00;PPRUD;INFO;HOLD;NEJ;21-10-2013 00:00:00;21-10-2013 00:00:00;21-10-2013 00:00:00;DetDigitaleLandkort;;
Køge;259;259sek;15.20.00;PPRUD;INFO;HOLD;NEJ;21-10-2013 00:00:00;21-10-2013 00:00:00;21-10-2013 00:00:00;DetDigitaleLandkort;;
Køge;259;259sek;15.20.00;PPRUD;INFO;HOLD;NEJ;21-10-2013 00:00:00;21-10-2013 00:00:00;21-10-2013 00:00:00;DetDigitaleLandkort;;
Køge;259;259sek;15.20.00;PPRUD;INFO;HOLD;NEJ;21-10-2013 00:00:00;21-10-2013 00:00:00;21-10-2013 00:00:00;DetDigitaleLandkort;;
Køge;259;259sek;15.20.00;PPRUD;INFO;HOLD;NEJ;21-10-2013 00:00:00;21-10-2013 00:00:00;21-10-2013 00:00:00;DetDigitaleLandkort;;
Køge;259;259sek;15.20.00;PPRUD;INFO;HOLD;NEJ;21-10-2013 00:00:00;21-10-2013 00:00:00;21-10-2013 00:00:00;DetDigitaleLandkort;;
Køge;259;259sek;15.20.00;PPRUD;INFO;HOLD;NEJ;21-10-2013 00:00:00;21-10-2013 00:00:00;21-10-2013 00:00:00;DetDigitaleLandkort;;
Køge;259;259sek;15.20.00;PPRUD;INFO;HOLD;NEJ;21-10-2013 00:00:00;21-10-2013 00:00:00;21-10-2013 00:00:00;DetDigitaleLandkort;;
Køge;259;259sek;15.20.00;PPRUD;INFO;HOLD;NEJ;21-10-2013 00:00:00;21-10-2013 00:00:00;21-10-2013 00:00:00;DetDigitaleLandkort;;
Køge;259;259sek;15.20.00;PPRUD;INFO;HOLD;NEJ;21-10-2013 00:00:00;21-10-2013 00:00:00;21-10-2013 00:00:00;DetDigitaleLandkort;;
Køge;259;259sek;15.20.00;PPRUD;INFO;HOLD;NEJ;21-10-2013 00:00:00;21-10-2013 00:00:00;21-10-2013 00:00:00;DetDigitaleLandkort;;
Køge;259;259sek;15.20.00;PPRUD;INFO;HOLD;NEJ;21-10-2013 00:00:00;21-10-2013 00:00:00;21-10-2013 00:00:00;DetDigitaleLandkort;;
Køge;259;259sek;15.20.00;PPRUD;INFO;HOLD;NEJ;21-10-2013 00:00:00;21-10-2013 00:00:00;21-10-2013 00:00:00;DetDigitaleLandkort;;
Køge;259;259sek;15.20.00;PPRUD;INFO;HOLD;NEJ;21-10-2013 00:00:00;21-10-2013 00:00:00;21-10-2013 00:00:00;DetDigitaleLandkort;;
Køge;259;259sek;15.20.00;PPRUD;INFO;HOLD;NEJ;21-10-2013 00:00:00;21-10-2013 00:00:00;21-10-2013 00:00:00;DetDigitaleLandkort;;
Køge;259;259sek;15.20.00;PPRUD;INFO;HOLD;NEJ;21-10-2013 00:00:00;21-10-2013 00:00:00;21-10-2013 00:00:00;DetDigitaleLandkort;;
Køge;259;259sek;15.20.00;PPRUD;INFO;HOLD;NEJ;21-10-2013 00:00:00;21-10-2013 00:00:00;21-10-2013 00:00:00;DetDigitaleLandkort;;
Køge;259;259sek;15.20.00;PPRUD;INFO;HOLD;NEJ;21-10-2013 00:00:00;21-10-2013 00:00:00;21-10-2013 00:00:00;DetDigitaleLandkort;;
Køge;259;259sek;15.20.00;PPRUD;INFO;HOLD;NEJ;21-10-2013 00:00:00;21-10-2013 00:00:00;21-10-2013 00:00:00;DetDigitaleLandkort;;
Køge;259;259sek;15.20.00;PPRUD;INFO;HOLD;NEJ;21-10-2013 00:00:00;21-10-2013 00:00:00;21-10-2013 00:00:00;DetDigitaleLandkort;;
Køge;259;259sek;15.20.00;PPRUD;INFO;HOLD;NEJ;21-10-2013 00:00:00;21-10-2013 00:00:00;21-10-2013 00:00:00;DetDigitaleLandkort;;
Køge;259;259sek;15.20.00;PPRUD;INFO;HOLD;NEJ;21-10-2013 00:00:00;21-10-2013 00:00:00;21-10-2013 00:00:00;DetDigitaleLandkort;;
Køge;259;259sek;15.20.00;PPRUD;INFO;HOLD;NEJ;21-10-2013 00:00:00;21-10-2013 00:00:00;21-10-2013 00:00:00;DetDigitaleLandkort;;
Køge;259;259sek;15.20.00;PPRUD;INFO;HOLD;NEJ;21-10-2013 00:00:00;21-10-2013 00:00:00;21-10-2013 00:00:00;DetDigitaleLandkort;;
Køge;259;259sek;15.20.00;PPRUD;INFO;HOLD;NEJ;21-10-2013 00:00:00;21-10-2013 00:00:00;21-10-2013 00:00:00;DetDigitaleLandkort;;
Køge;259;259sek;15.20.00;PPRUD;INFO;HOLD;NEJ;21-10-2013 00:00:00;21-10-2013 00:00:00;21-10-2013 00:00:00;DetDigitaleLandkort;;
Køge;259;259sek;15.20.00;PPRUD;INFO;HOLD;NEJ;21-10-2013 00:00:00;21-10-2013 00:00:00;21-10-2013 00:00:00;DetDigitaleLandkort;;
Køge;259;259sek;15.20.00;PPRUD;INFO;HOLD;NEJ;21-10-2013 00:00:00;21-10-2013 00:00:00;21-10-2013 00:00:00;DetDigitaleLandkort;;
Køge;259;259sek;15.20.00;PPRUD;INFO;HOLD;NEJ;21-10-2013 00:00:00;21-10-2013 00:00:00;21-10-2013 00:00:00;DetDigitaleLandkort;;
Køge;259;259sek;15.20.00;PPRUD;INFO;HOLD;NEJ;21-10-2013 00:00:00;21-10-2013 00:00:00;21-10-2013 00:00:00;DetDigitaleLandkort;;
