KLE- nummer;Navn;Forvaltning/afdeling;Leder
23.05.00;Folkeregistrering - Bopælsattest/folkeregistermeddelelse;Borgerservice;Peter Ravnholt
23.05.05;Folkeregistrering - Navne- og Adressebeskyttelse;Borgerservice;Peter Ravnholt
23.05.12;Folkeregistrering - Indrejse/udrejse;Borgerservice;Peter Ravnholt
25.02.09;SKAT ? ejendom (lån til betaling af ejendomsskat);TMF, Sekretariat;Ulla Johannesen
28.09.44;Dagtilbud til børn - friplads og forældres Egenbetaling;BUF, Pladsanvisning;Gitte Brorsen
28.18.00;Dagtilbud til børn - private Pasningsordninger;BUF, Pladsanvisning;Gitte Brorsen
32.45.04;Socialt bedrageri;Borgerservice;Peter Ravnholt
27.60.04;Hjælpemidler - kropsbårne;SSF, Hjælpemiddelafdelingen;Rasmus Baagland
32.03.24;Delpension;SSF, Socialafdeling;Gunvor Abrahamsen
32.21.00;Hjælp i særlige tilfælde (bl.a. enkeltudgifter, flyttehjælp, særlig hjælp, etc);SSF, Socialafdeling, Ydelsesservice;Gunvor Abrahamsen
32.21.32;Administration af modtagerens Kontanthjælp;SSF, Socialafdeling, Ydelsesservice;Gunvor Abrahamsen
32.24.08;Revalidering;SSF, Socialafdeling, Ydelsesservice;Gunvor Abrahamsen
32.24.12;Fleksjobbere - ledighedsydelse;SSF, Socialafdeling, Ydelsesservice;Gunvor Abrahamsen
32.27.00;Fleksjobbere - fleksydelse;SSF, Socialafdeling, Ydelsesservice;Gunvor Abrahamsen
32.42.08;Begravelseshjælp;Borgerservice;Peter Ravnholt
15.20.13;Godtgørelse til udgifter ved deltagelse i Tilbud;SSF Ydelsesservice betaler;Gunvor Abrahamsen
27.36.20;Hjemmehjælp (Ansøgning om hjemmehjælp);SSF, Bestiller;Rasmus Baagland
27.45.00;Boligtilbud til ældre/(handikappede, blev ikke talt);SSF, Bestiller;Rasmus Baagland
27.63.00;Pasning af nærtstående;SSF, Bestiller;Rasmus Baagland
02.00.20;BBR (Ejendomsregistrering);TMF, Byg og Plan;Peter Tuxen
02.34.04;Anmeldelse om byggearbejde;TMF, Byg og Plan;Peter Tuxen
05.00.00;Veje (private, offentlige, vedligeholdelse, etc);TMF, Veje og Byrum;Connie Graul
05.09.02;Parkeringslicenser og parkeringsafgifter;TMF, Veje og Byrum;Connie Graul
05.12.00;Jord ( Opgravning, ledningsarbejder);TMF, Veje og Byrum;Connie Graul
05.14.04;Anbringelse af beholdere og lignende genstande på vej;TMF, Veje og Byrum;Connie Graul
05.14.21;Tankanlæg - rådighed over vejareal;TMF, Veje og Byrum;Connie Graul
06.01.00;Vand og Kloak;TMF, Natur og Miljø;Bjarne Svendsen
07.17.00;Affald og genanvendelse - virksomheder og offentlige inst.;TMF, Natur og Miljø;Bjarne Svendsen
07.18.00;Affald og genanvendelse - borgere (husholdninger);TMF, Natur og Miljø + borgerservice;Bjarne Svendsen + Peter Ravnholt
09.13.00;Skadedyrsbekæmpelse;Borgerservice + TMF, Natur og Miljø;Peter Ravnholt + Bjarne Svendsen
22.11.00;Taxakørsel;TMF, Veje og Byrum;Connie Graul
15.17.00;Opfølgning, vurdering og revalidering;FAB, Jobcenter og Ungecenter;Gorm H. Andersen og Flemming Udbjørg
15.20.00;beskæftigelsesindsats;FAB, Jobcenter og Ungecenter;Gorm H. Andersen og Flemming Udbjørg
15.21.00;Formidlingsindsats;FAB, Jobcenter og Ungecenter;Gorm H. Andersen og Flemming Udbjørg
15.22.00;Kompensation til handicappede i erhverv mv.;FAB, Jobcenter;Gorm H. Andersen
15.23.00;Information og vejledning;FAB, Jobcenter og Ungecenter;Gorm H. Andersen og Flemming Udbjørg
15.27.00;Servicejob;FAB, Jobcenter;Gorm H. Andersen
15.28.00;Seniorjob;FAB, Jobcenter;Gorm H. Andersen
23.07.00;Legitimation af borgerne i almindelighed (NemID);Borgerservice;Peter Ravnholt
